index,text,emotion
137,आपकी यह प्रतिज्ञा अभूतपूर्व है,surprise
138,आपके घर में अब अन्याय और हठ का प्रकोप हो रहा है,angry
139,आपसे बात करके अच्छा लगा,happy
140,आय एम इम्प्रेस्सड,happy
141,आये होये ! ! ! आज तो तूने दिल जीत लिया भाई,happy
142,आश्चर्यचकित कर दिया तुमने,happy
143,आहत सम्मान की व्यथा तो थी ही उस पर मिला सूखा भूसा,disgust
144,इतना अच्छा सर्विस दिया तो ख़ुशी से मै और पैसे दे दूँ,happy
145,इतना मेहेंगा क्यों भोस्डिके,angry
146,इतना सुन्दर होटल है,happy
147,इतनी गंदगी थी वह पर,sad
148,इतनी समझ भी उसे नहीं है कि इस तरह कोई राजा कै घंटे गद्दी पर रह सकता है,disgust
149,इतनी ही देर में ऐसी कायापलट हो गयी कि मेरी जड़ खोदने पर तुला हुआ है,fear
150,इतने काम पैसे में इतना चैनल्स,happy
151,इतने पैसे में कितने दिन चलेंगे,neutral
152,इतने लोग वहाँ गए हैं किंतु यह उपाय किसी को अभी तक नहीं सूझा,surprise
153,इत्ता परेशान मै पहले कभी नहीं हुआ,angry
154,इधर कोई ३ स्टार होटल है आस पास मै,neutral
155,इधर बारिश हुई थी क्या सुबह,neutral
156,इधर बुकिंग कैसे  होता है,neutral
157,इधर से बुकिंग क्यों नहीं हो रहा है,neutral
158,इन चैनल्स की क्लैरिटी सच में बहुत अच्छी है,happy
159,इन पवित्र भावों से उसकी आत्मा विह्वल हो गयी,happy
160,इन बातों में जरा-सा भी झूठ हुआ तो फौरन उसकी गर्दन मारी जाएगी,fear
161,इनका सर्विस समझ के बाहर है,sad
162,इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी,angry
163,इन्हें गृहस्थी की चिंताओं से क्या मतलब!,angry
164,इन्हें बचाना मेरा धर्म है,neutral
165,इस एप के बारे में  और बताओ,neutral
166,इस एप को और बेहतर कर सकते हो,sad
167,इस कपड़े पर लगे दाग तो बिल्कुल सहन नहीं हो रहे।,disgust
168,इस गंदगी को देखकर मैं वास्तव में परेशान हूं।,disgust
169,इस गंदगी को देखकर ही मेरी तबियत बिगड़ रही है।,disgust
170,इस गंदे और सड़े हुए कमरे की स्थिति बहुत ही खराब है।,disgust
171,इस गंदे पानी में हाथ डालना तो मेरे लिए असहनीय है।,disgust
172,इस गंदे बाथरूम की स्थिति देखकर तो मुझे उल्टी आ रही है।,disgust
173,इस गंदे स्थान पर जाकर तो मुझे वाकई घिन आ रही है।,disgust
174,इस घर में उसका काम नहीं लेकिन हामिद,neutral
175,इस जगह की गंदगी तो बिल्कुल असहनीय है।,disgust
176,इस जगह की सफाई बिल्कुल भी ठीक नहीं है।,disgust
177,इस जगह की स्थिति बहुत ही खराब है मुझे यहाँ रहना नहीं आता।,disgust
178,इस मच्छर के आकार को देखकर ही घिन आ रही है।,disgust
179,इस मंत्र को जपते ही उसके चित्त को पूर्ण शांति प्राप्त हो जाती थी,happy
180,इस महीने चल जाएंगे इतने पैसे में,neutral
181,इस मौसम के कारण मै पीड़ित हु,sad
182,इस रसोई की स्थिति देखकर ही मुझे घिन आ रही है।,disgust
183,इस वायु-प्रवाह से झूम उठा गुंजित हो गया,happy
184,इस सड़े हुए टुकड़े को देखकर तो मुझे उल्टी आ रही है।,disgust
185,इस सर्विस से काफी नाराज हु मै,sad
186,इसकी आग कुछ क्षणों में मुझे भस्म कर देगी,fear
187,इसके यहाँ से अब सर्विस नहीं लूंगा,sad
188,इसको भी एक बार चेक करना चाहिए,neutral
189,इसमें रखी एक हजार अशर्फियाँ कहाँ हैं,surprise
190,इसी चिंता में वह गोते खाया करती है किन्तु गोविंदी भी उससे कम चिंतित नहीं है,fear
191,इसी तरह करवा बोल और बुरा व्यवहार भी तुम्हारे रिश्तों को गन्दा कर देता है,disgust
192,इसीलिए कल मैंने आपसे धृष्टता की थी,fear
193,ईश्वर ने लड़के दिये थे ईश्वर ही ने छीन लिये,sad
194,उठ खड़े हुए और जोर से बोले-पंच-परमेश्वर की जय,happy
195,उठने-बैठने की शक्ति भी न रही,sad
196,उधर मर्दाने में धमा-चौकड़ी मची हुई थी,neutral
197,उनका हृदय बड़े वेग से उछलने लगा,fear
198,उन्हें क्या खबर कि चौधरी आँखें बदल लें तो यह सारी ईद मुहर्रम हो जाय,fear
199,उन्हें रियासत से जागीरें मिली हुई हैं हद है।,disgust
200,उन्होंने एक नवीन प्रेमोत्साह से उठकर उसे गले लगा लिया और मुस्कराकर बोले- आज तो तुमने बड़े-बड़े शस्त्रस सजा रखे हैं कहाँ भागूँ,happy
201,उन्होंने खुद वह सब कष्ट झेले हैं जो वह मुझे झेलवाना चाहती हैं,sad
202,उफ्फ इस गंदे सामान को देखकर मेरी तबियत खराब हो रही है।,disgust
203,उफ्फ तुम्हें यह गंदगी क्यों नहीं साफ कर दी?,disgust
204,उफ्फ यह बदबू तो बिल्कुल सहन नहीं हो रही।,disgust
205,उफ्फ यह मच्छरों की भरमार तो बहुत ही नफरतजनक है।,disgust
206,उफ्फ यह सड़े हुए फलों की गंध बहुत ही घिनौनी है।,disgust
207,उस अठन्नी को ईमान की तरह बचाती चली आती थी इसी ईद के लिए लेकिन कल ग्वालन सिर पर सवार हो गयी तो क्या करती,sad
208,उस कोठरी में पड़े-पड़े उसकी दशा बिगड़ती जाती है,sad
209,उस भीड़-भाड़ से बच्चा कहीं खो जाय तो क्या हो,fear
210,उस भूतिया घर के पास से गुजरते हुए उसके पैर कांपने लगे।,fear
211,उस युवक की महाराज से सिफारिश करूँ जो हमारी जड़ खोदने पर तुला हुआ है| हाय राम!,fear
212,उस सुनसान मकान में जाते ही उसे लगा कि वह किसी अनदेखी शक्ति के नियंत्रण में है और उसकी सांसें तेज हो गईं।,fear
213,उस सुनसान मकान में जाते ही उसे लगा कि वह किसी अनदेखी शक्ति के नियंत्रण में है।,fear
214,उस होटल में मज़ा नहीं आया,sad
215,उसका आदर-सत्कार करना तो हमारा धर्म है इसमें कितना आनंद है!,happy
216,उसका चेहरा सफेद पड़ गया जब उसने देखा कि उसके कमरे की अलमारी अपने आप खुल गई है।,fear
217,उसका मुरझाया हुआ मन आशा से लहलहा उठा,happy
218,उसकी अनोखी छवि आँखों में समा गयी,neutral
219,उसकी आँखों में कितनी तृष्णा है तृष्णा नहीं बल्कि ज्वाला,surprise
220,उसकी आंखों में डर साफ झलक रहा था जब उसने देखा कि दरवाजा अपने आप खुल रहा है और उसे लगा कि कोई अदृश्य शक्ति अंदर आ रही है।,fear
221,उसकी आंखों में डर साफ झलक रहा था जब उसने देखा कि दरवाजा अपने आप खुल रहा है।,fear
222,उसकी आंखों में डर साफ झलक रहा था जब उसने देखा कि दरवाजा अपने आप खुल रहा है।,fear
223,उसकी सांसें तेज हो गईं जब उसने देखा कि कोई परछाई तेजी से उसकी तरफ बढ़ रही है और उसने खुद को बचाने के लिए दरवाजा बंद कर लिया।,fear
224,उसकी सांसें तेज हो गईं जब उसने देखा कि कोई परछाई तेजी से उसकी तरफ बढ़ रही है।,fear
225,उसकी सांसें तेज हो गईं जब उसने सुना कि कोई उसके कमरे में आ रहा है।,fear
226,उसकी सांसें थम गईं जब उसने खिड़की के बाहर एक अजनबी चेहरा देखा।,fear
227,उसके अन्दर प्रकाश है बाहर आशा,happy
228,उसके अब्बाजान रूपये कमाने गए हैं,neutral
229,उसके चेहरे पर डर साफ झलक रहा था जब उसने देखा कि उसके कमरे की अलमारी अपने आप खुल गई है और वह घबराकर बिस्तर पर बैठ गया।,fear
230,उसके चेहरे पर डर साफ झलक रहा था जब उसने देखा कि उसके कमरे की दीवारों पर अजीब सी लिखावट है।,fear
231,उसके चेहरे पर डर साफ झलक रहा था जब उसने देखा कि कमरे की दीवारें हिल रही हैं।,fear
232,उसके दोस्त ने उसे दिखाया कि कैसे पुराने गोदाम में गंदगी फैली हुई थी और वह उस दृश्य को देखकर चौंक गया।,disgust
233,उसके दोस्त ने जब उसे बताया कि वह मकान भूतिया है तो वह वहां से तुरंत निकलने का सोचने लगा और डर के मारे कांपने लगा।,fear
234,उसके दोस्त ने जब उसे बताया कि वह मकान भूतिया है तो वह वहां से तुरंत निकलने का सोचने लगा।,fear
235,उसके दोस्त ने बताया कि वह एक महीने के लिए विदेश जा रहा है तो वह चौंक गया।,surprise
236,उसके पति ने बताया कि वे छुट्टियों पर जा रहे हैं और वह आश्चर्यचकित रह गई।,surprise
237,उसके पिताजी ने अचानक बताया कि वे नया घर खरीदने वाले हैं तो वह चौंक गया।,surprise
238,उसके बॉस ने अचानक बताया कि वह अगले महीने छुट्टी पर जा सकता है तो वह चौंक गया।,surprise
239,उसके रोम-रोम से परमात्मा के गुणानुवाद की ध्वनि निकलने लगी,happy
240,उसके शिक्षक ने बताया कि वह क्लास में अव्वल आई है तो वह खुशी से चौंक उठी।,surprise
241,उसने अचानक देखा कि उसकी बालकनी में एक सुंदर सा पंछी बैठा है और वह हैरान रह गई।,surprise
242,उसने अचानक देखा कि उसके खोए हुए कुत्ते को किसी ने वापस ला दिया है और उसकी आँखें खुशी से भर आईं।,surprise
243,उसने अचानक देखा कि उसके हाथ में एक अनजाना पत्र था और वह आश्चर्यचकित रह गया।,surprise
244,उसने अजीब सी आवाजें सुनते ही कमरे का दरवाजा बंद कर लिया और बिस्तर के नीचे छुप गया उसका दिल तेजी से धड़क रहा था।,fear
245,उसने अजीब सी आवाजें सुनते ही कमरे का दरवाजा बंद कर लिया और बिस्तर के नीचे छुप गया।,fear
246,उसने अपने कमरे में एक अजीब सी आहट सुनी और वह डर के मारे बिस्तर के नीचे छुप गया।,fear
247,उसने कहा कि उसने मुझे एक उपहार भेजा है।,surprise
248,उसने कहा कि उसने मुझे एक उपहार भेजा है।,surprise
249,उसने कहा कि उसने मेरे लिए नई किताब खरीदी है।,surprise
250,उसने कहा कि वह मुझे मिलने आ रहा है।,surprise
251,उसने कहा कि वह मुझे शादी में बुलाना चाहता है।,surprise
252,उसने कहा कि वह मुझे सरप्राइज देना चाहता है।,surprise
253,उसने कहा कि वह मुझे सरप्राइज देना चाहता है।,surprise
254,उसने कहा कि हम नया घर खरीद रहे हैं।,surprise
255,उसने देखा कि आईने में उसका अक्स कुछ अजीब कर रहा है और वह घबरा गई जैसे कोई अदृश्य शक्ति उसे नियंत्रित कर रही हो।,fear
256,उसने देखा कि आईने में उसका अक्स कुछ अजीब कर रहा है और वह घबरा गई।,fear
257,उसने देखा कि उसकी खिड़की खुली है जबकि उसने उसे बंद किया था और वह डर के मारे कांपने लगी।,fear
258,उसने देखा कि उसकी टेबल पर एक अनजाना उपहार रखा है और वह आश्चर्यचकित रह गई।,surprise
259,उसने देखा कि उसकी पसंदीदा मिठाई टेबल पर रखी है और वह आश्चर्यचकित रह गया।,surprise
260,उसने देखा कि उसके कमरे में एक बड़ा सा तोहफा रखा है और वह चौंक गई।,surprise
261,उसने देखा कि उसके घर के पास एक विशालकाय पेड़ उग आया है और वह चौंक गया।,surprise
262,उसने पुराने और गंदे खिलौनों को देखा और सोचा कि ये कितने घिनौने हैं।,disgust
263,उसने पुराने टुटे-फुटे बर्तन और गंदे बर्तनों का ढेर देखा और घिन से भर गया।,disgust
264,उसने बगीचे में पड़े हुए गंदे और सड़े हुए पत्तों को देखकर सोचा कि वह यहाँ और नहीं रुक सकता।,disgust
265,उसने बताया कि उसने नई कार खरीदी है।,surprise
266,उसने बताया कि उसने नई कार खरीदी है।,surprise
267,उसने बताया कि मैं क्लास में अव्वल आया हूँ।,surprise
268,उसने बताया कि मैं क्लास में अव्वल आया हूँ।,surprise
269,उसने बताया कि वह मुझे एक खास तोहफा देना चाहता है।,surprise
270,उसने बताया कि हम छुट्टियों पर जा रहे हैं।,surprise
271,उसने बताया कि हम नई जगह घूमने जा रहे हैं।,surprise
272,उसने बताया कि हम नई जगह घूमने जा रहे हैं।,surprise
273,उसने बताया कि हम नए साल की पार्टी रख रहे हैं।,surprise
274,उसने बताया कि हम विदेश यात्रा पर जा रहे हैं।,surprise
275,उसने महसूस किया कि उसकी घड़ी अचानक से बंद हो गई है और वह हैरान रह गया।,surprise
276,उसने महसूस किया कि उसके गहने चोरी हो गए हैं और वह आश्चर्यचकित रह गई।,surprise
277,उसने महसूस किया कि कोई उसके पीछे चल रहा है और वह तेजी से दौड़ने लगी उसका दिल तेज धड़क रहा था और वह पसीने से तर-बतर हो गई।,fear
278,उसने महसूस किया कि कोई उसके पीछे चल रहा है और वह तेजी से दौड़ने लगी।,fear
279,उसने सुना कि उसकी नौकरी में पदोन्नति हो गई है और वह खुशी से चौंक उठा।,surprise
280,उसने सुना कि उसकी पसंदीदा टीम ने मैच जीत लिया है और वह आश्चर्यचकित रह गया।,surprise
281,उसने सुना कि उसकी पसंदीदा फिल्म का सीक्वल आ रहा है और वह चौंक गया।,surprise
282,उसने सुना कि किसी ने आत्महत्या की है और वह उस जगह से जल्दी से निकलने की सोचने लगा।,fear
283,उससे जब कभी भूल-चूक हो उसके कान पकड़ो लेकिन ... श्रीकंठ-लालबिहारी को मैं अब अपना भाई नहीं समझता,angry
284,उसी समय तोता पैरों को जोड़े हुए ऊँची डाल से उतरा जैसे आकाश से कोई तारा टूटे और आ कर पिंजड़े में बैठ गया,surprise
285,उसे अजीब सी आवाजें सुनाई दीं और वह डर के मारे बिस्तर के नीचे छुप गया उसका दिल तेजी से धड़क रहा था।,fear
286,उसे अजीब सी आवाजें सुनाई दीं और वह डर के मारे बिस्तर के नीचे छुप गया।,fear
287,उसे अजीब सी आवाजें सुनाई दीं और वह डर के मारे बिस्तर के नीचे छुप गया।,fear
288,उसे अजीब सी परछाइयां दिखाई देने लगीं और वह डर के मारे कांपने लगी।,fear
289,उसे उम्मीद नहीं थी की भीम सिंह लालच की वजह से इतना नीचे गिर जाएगा,surprise
290,उसे एक पुराने कंबल पर लगे दाग देखकर बहुत नफरत हो रही थी।,disgust
291,उसे किसी के मरने-जीने से क्या मतलब,neutral
292,उसे किसी पेड़ पर अकेले रहने से डर लगता था,fear
293,उसे घर के पिछवाड़े में फैली गंदगी और कचरे के ढेर को देखकर नफरत हो रही थी।,disgust
294,उसे न घर से वास्ता था न बाहर से,sad
295,उसे पुरानी दुकान के भीतर फैली गंदगी और सड़े हुए सामान को देखकर पूरी तरह से उल्टी आ रही थी।,disgust
296,उसे पुराने गंदे कपड़े देखकर अपनी आंखों पर विश्वास नहीं हो रहा था।,disgust
297,उसे फटे हुए और गंदे कंबल को देखकर ऐसा लगा जैसे उसने किसी बहुत ही गंदे स्थान को छुआ हो।,disgust
298,उसे फटे हुए और गंदे गद्दे देखकर ऐसा लगा जैसे उसने किसी गंदगी के ढेर को छू लिया हो।,disgust
299,उसे बगीचे में फैले हुए सड़े हुए फल और सब्जियों को देखकर नफरत और घिन का एहसास हुआ।,disgust
300,उसे संसार में कोई वस्तु अगर प्यारी थी तो वह यही तोता,neutral
301,उसे हर घड़ी यही चिंता रहती थी कि किसी तरह बदला लेने का अवसर मिले,angry
302,ऊंट कराहता हुआ बोला 'जंगल के राजा',fear
303,ए लड़की खबरदार मेरे पास न आना,disgust
304,एक उबर बुक करो,neutral
305,एक ऑटो बुक कर दो जल्दी,neutral
306,एक काम कर दो,neutral
307,एक कैब बुक करदो,neutral
308,एक दिन अचानक बारिश होने लगी और हम बिना छाते के बाहर थे तो हम हैरान रह गए।,surprise
309,एक नंबर ऑफर मिला है,happy
310,एक नंबर काम किया है भाई तूने,happy
311,एक पैसा देकर बैठ जाओ और पच्चीस चक्करों का मजा लो,happy
312,एक बढ़िया सा होटल बुक करो,neutral
313,एक बरतन तक न बचा! कितना दुखद!,sad
314,एक बार में समझ नहीं आया बोला रिचार्ज करने तो,angry
315,एक बालक ने कहा – “ऐसे बैल किसी के पास न होंगे”,surprise
316,एक भी सही चीज नहीं बताई तुमने,angry
317,एक ही बात कितने बार बोलोगे,angry
318,एक-एक प्रश्न जुम्मन के हृदय पर हथौड़े की चोट की तरह पड़ता था,fear
319,एकदम बेकार,angry
320,एजेंट बहुत बड़ा अफसर न सही लेकिन है तो बादशाह का प्रतिनिधि  हाय राम!,fear
321,एप में और सुधार लाओ,sad
322,एप मे दम नहीं है,sad
323,एप से कुछ हेल्प नहीं मिला,sad
324,एप्प का परफॉर्मेंस बहुत खराब है,sad
325,एप्प बार बार फस क्यों रहा है,angry
326,ऐसा कैसे चलेगा,sad
327,ऐसा भुला दिया मानो कभी शोक हुआ ही नहीं,surprise
328,ऐसा लग रहा है दीवार से बात कर रहा हु,angry
329,ऐसी सर्विस की उम्मीद थी आपसे,happy
330,ऐसे कैसे चैनल्स बंद कर दिए आप,angry
331,ऐसे खिलौने लेकर वह क्या करेगा,neutral
332,ऐसे खुश हुए मानो बहुत दिनों के वियोग के बाद उससे भेंट हुई हो,happy
333,ऐसे ही सर्विस हमेशा रहे तो क्या बात है,happy
334,ऑटो मिल गया  यीपी,happy
335,ओए एक बुकिंग कर दे कैब की,neutral
336,ओए होए ! ! !,happy
337,ओए होए ! ! मेरा ट्रैन टिकट बुक हो गया,happy
338,ओए होए सारथी तुमने बहुत अच्छा काम किया,happy
339,ओय मुझे गधा समझा है क्या,angry
340,ओले की मार से बहुत से कौवे घायल हो जमीन पर गिर गए कुछ कौवों की तो मौत भी हो गयी,disgust
341,ओह यह तो आश्चर्यजनक है कि तुमने इतनी मेहनत से यह सब हासिल किया।,surprise
342,ओह यह सचमुच बहुत ही घिनौना है।,disgust
343,ओह!  कहती तो कौन सुनने वाला था,sad
344,ओह! यह तो मेरे लिए बिल्कुल अप्रत्याशित था कि तुमने इतनी जल्दी यह कर दिखाया।,surprise
345,और उन्हें रोने की सुधि न थी,sad
