index,text,emotion
109,सबसे कम टाइम लगने वाली ट्रेन बताओ,neutral
110,क्या मेरा फ्लाइट ऑन टाइम है ,neutral
111,मस्त होटल था यार ,happy
112,थोड़ा और सस्ता फ्लाइट बुक हो सकता था ,sad
113,बहुत ही बढ़िया ,happy
114,तू बस अपना पैक्स डिटेल्स दे नालायक ,angry
115,इतना मेहेंगा क्यों भोस्डिके ,angry
116,यू आर गुड ,happy
117,आप ऐसे कैसे मेरा पैसा काट सकते हो ,angry
118,अरे बढ़िया ,happy
119,इस सर्विस से काफी नाराज हु मै,sad
120,तुम बढ़िया हो यार ,happy
121,फ़क ऑफ़ ,angry
122,गज़ब का होटल था ,happy
123,अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,angry
124,अबे एक ओयो बुक कर दो भाई के लिए ,neutral
125,कुछ काम का नहीं है ये एप ,angry
126,बहुत अच्छा भाई ,happy
127,अंतिम समय कब तक है रिचार्ज करने की ,neutral
128,ये कैब फिरसे से टाइम पे बुक नहीं हुई ,sad
129,कहा मर गए ,angry
130,मै खुश हुआ ,happy
131,मै निराश हू ,sad
132,आखरी तारीख क्या है बैलेंस एक्सपायर होने में ,neutral
133,कितना सड़ा होटल था ,sad
134,और क्या हालचाल है,neutral
135,मेरी फ्लाइट २ घंटा डिले हो गयी ,sad
136,मेरी यात्रा कुशल मंगल थी धन्यवाद  ,happy
137,तुम कभी कुछ समझते ही नहीं हो ,angry
138,तुम बुकिंग करने में इतनी देर क्यों लगाते हो ,sad
139,बेकार प्लान है इनका ,sad
140,मेरे को अपने आस पास की होटल दिखाओ,neutral
141,साले मादरचोद हो तुम ,angry
142,जल्दी से एक काम करना ,neutral
143,एक बार में समझ नहीं आया बोला रिचार्ज करने तो ,angry
144,बद्तमीज़ स्टाफ था ,sad
145,वाह यार सही डिस्काउंट चल रहा ,happy
146,हेल्प करने के लिए धन्यवाद ,happy
147,क्या मैं चैनल्स ऐड कर सकता हूँ ,neutral
148,तेरे को एक बार में समझ में नहीं आती क्या ,angry
149,भाई तूने मेरी बहुत हेल्प की है ,happy
150,एक नंबर ऑफर मिला है,happy
151,वाह भाई क्या बढ़िया डील मिली है ,happy
152,मेरा एक सवाल है  ,neutral
153,रीस्टार्ट करने पे भी नहीं हो रहा ,sad
154,होते कौन हो आप ऐसा करने वाले ,angry
155,कितनी बार बोला की मेरा डिश टीवी रिचार्ज करना है ,angry
156,मै आगे कैसे बढू ,neutral
157,दिमाग मत ख़राब कर और जल्दी रिचार्ज कर ,angry
158,मुझे फ्लाइट का टिकट मिल गया वाह ,happy
159,ये मज़ेदार है ,happy
160,यार ये तो मख्खन जैसा काम करता है ,happy
161,कुछ भी करके मेरे पैसे रिवर्ट कराओ ,angry
162,अच्छा हुआ अकाउंट बंद नहीं हुआ ,happy
163,यह तो बहुत अच्छा ऐप है,happy
164,काश ये हो पाता यार ,sad
165,मदद के लिए धन्यवाद ,happy
166,कल की दिल्ली से मुंबई की कोई ट्रैन टिकट है ,neutral
167,जा नहीं करा रहा मैं रिचार्ज ,angry
168, प्लीज मेरे लिए बैंगलोर में एक होटेल खोजो ,neutral
169,क्या यार अब तक पैसा नहीं आया ,sad
170,क्या मेरा एक काम करदोगे ,neutral
171,ये एप्प इस्तेमाल करके देखे ,neutral
172,शुक्रिया रिचार्ज करने के लिए दोस्त ,happy
173,हमरी यात्रा सुखद नहीं थी ,sad
174,कैब के ड्राइवर ने मुझे बीच में ही उतार दिआ,sad
175,बहुत अच्छा कैब ड्राइवर था ,happy
176,वेस्ट ऑफ टाइम,angry
177,अरे वाह इतनी जल्दी हो भी गया ,happy
178,मेरा दिमाग ख़राब मत कर और तुरंत रिचार्ज कर   ,angry
179,कुछ पैसे है या नहीं मेरे अकाउंट में ,neutral
180,आगे क्या करना समझ नहीं आ रहा है ,neutral
181,तू गधा है क्या ,angry
182,माशा अल्लाह ,happy
183,फटा फट एक कैब बुक करना ,neutral
184,दिल खुश कर दिया तूने ,happy
185,होटल मेरी एक्सपेक्टेशंस के हिसाब से नहीं था ,sad
186,कितना पैसा है मेरे अकाउंट में ,neutral
187,मेरा एक काम कर दो ,neutral
188,कैब ड्राइवर बहुत हेल्पिंग था ,happy
189,होटल तो ठीक ही था,neutral
190,ये ऐप कुछ ख़ास नहीं है ,sad
191,ये एप्प कभी भी धोखा दे सकती है ,sad
192,मेरा ट्रैन टिकट बुक हो गया वाओ ! !  ,happy
193,सॉरी यार गलती हो गयी ,sad
194,भाई मुझे एक बात बताओ ,neutral
195,कैब वाले ने फिर से कैंसिल कर दिया,angry
196,ये कैसे होगा,neutral
197,यीपी ! ! ! मै जल्दी घर आ गया ,happy
198,तुम बहुत स्मार्ट हो ,happy
199,जल्दी डलवा मेरे पैसे इडियट ,angry
200,क्या आप बताएंगे मेरे अकाउंट की एक्सपायरी डेट ,neutral
201,मुझे ये एप्प बिलकुल अच्छा नहीं लगा ,sad
202,बड़े मज़ेदार हो तुम ,happy
203,इतने पैसे में कितने दिन चलेंगे ,neutral
204,एक काम कर दो,neutral
205,तुमने मन प्रफुल्लित कर दिया ,happy
206,मन प्रसन्न हो गया मेरा ,happy
207,कैब ड्राइवर ने मुझे गाली दी ,sad
208,कितना सही अप्प है यार ,happy
209,मै अनसैटिस्फाइड हू ,sad
210,होटल स्टाफ डिसिप्लिंड नहीं था ,sad
211,तुम्हारा कोई जवाब नहीं सारथी,happy
212,कैब वाले ने मुझसे बदतमीजी की ,sad
213,कुछ ऐसा डील दो यार की मजा  जाए ,neutral
214,सबसे कम वाली बेस पैक कौन सी है  ,neutral
215,जो बोला वो क्यों नहीं करते हो ? ,angry
216,बैंगलोर की ट्रेन मिल गई यीपी ,happy
217,गन्दा होटल था ,sad
218,कितना खूबसूरत होटल था ,happy
219,कैब कहा है भाई ,neutral
220,क्या बताओ यार मूड ही ख़राब है ,angry
221,बहुत खूब ,happy
222,यार मेरी दिक्कत क्यों नहीं समझ रहे,sad
223,लंड जैसा काम किया तुमने ,angry
224,कुछ मज़ा नही आया ,sad
225,ड्राइवर ने कैंसिल कर दिया ,sad
226,एप्प का परफॉर्मेंस बहुत खराब है ,sad
227,वूहू ! !,happy
228,बेकार कैब थी यार,sad
229,दिल जीत लिया तूने ,happy
230,ओए होए सारथी तुमने बहुत अच्छा काम किया,happy
231,ऐसी सर्विस की उम्मीद थी आपसे ,happy
232,इधर कोई ३ स्टार होटल है आस पास मै ,neutral
233,यीपी  ! ! ! मुझे सस्ती फ्लाइट मिल ,happy
234,मेरी कैब क्यों नहीं आ रही है ,angry
235,बार बार रीस्टार्ट करने से भी वही दिखा रहा *,neutral
236,तुम सबसे वाहियाद हो ,angry
237,आज का मौसम बताओ ,neutral
238,ट्रैन की यात्रा  काफी अच्छी थी ,happy
239,क्या मुझे लास्ट डेट बताएंगे ,neutral
240,यह होटल काफी अच्छा था ,happy
241,ऐसा कैसे चलेगा ,sad
242,आज का तापमान क्या है ,neutral
243,कल का ट्रैन अवेलेबल है ,neutral
244,कैब वाले ने मुझसे ढंग से बात नहीं की ,sad
245,बहनचोद  ,angry
246,मादरचोद ,angry
247,तुम्हरा कोटि कोटि धन्यवाद मेरा मोबाइल नंबर रजिस्टर करने के लिए ,happy
248,चुप चाप मेरे पैसे लौटा ,angry
249,बैंगलोर में कोई भी होटल बुक कर दो,neutral
250,अरे वाह ,happy
251,मूड ऑफ कर दिया ,sad
252,ये तो अच्छा है ,happy
253,वाओ ! ! मेरी ट्रेन जल्दी आ,happy
254,तुमसे ये उम्मीद नहीं थी ,sad
255,मै तंग आ चुका हू ,angry
256,ऑटो मिल गया  यीपी ,happy
257,आज का मौसम कैसा है ,neutral
258,आय एम इम्प्रेस्सड  ,happy
259,आ हा ! सारथी तुम बेस्ट हो ,happy
260,मेरे अकाउंट में कितना बैलेंस बचा है ,neutral
261,इसको भी एक बार चेक करना चाहिए ,neutral
262,मजा आ गया यार ,happy
263,बेस्ट हो तुम  ,happy
264,क्या तुम मेरी हेल्प कर सकते हो ,neutral
265,बहुत ही वाहियाद सर्विस है होटल की  ,sad
266,कैब अंदर से काफी गन्दी थी ,sad
267,ये क्या बकवास है ,angry
268,घटिया सर्विस ,angry
269,दिमाग खराब कर दिया ,angry
270,तुम किसी काम के नहीं हो बहनचोद ,angry
271,बढ़िया काम किया भाई ,happy
272,तबसे एक काम नहीं  कर पा रहे हो तुम ,angry
273,गुड सर्विस ,happy
274,क्या पागलपंती है ये ,angry
275,बहुत ही निराशाजनक अनुभव था हमारा ,sad
276,आई वॉस एक्सपेक्टिंग मोर,sad
277,पता नहीं कब पैसे वापस आएँगे ,neutral
278,तुम्हारे काम का कोई जवाब नहीं सारथी शाबाश,happy
279,टिकट बुक नहीं हुई ,sad
280,यार कही घूमने चलते है ,neutral
281,ट्रैन ने गांड मार कर रखी है ,sad
282,आ हा सारथी तुम लाजवाब हो ,happy
283,वाओ ! ! ! यार क्या चीज़ बताई है तुमने,happy
284,जो चैनल मै नहीं देखता उसके पैसे क्यों दू ,neutral
285,और क्या क्या कर सकते हो तुम मेेरे लिए ,neutral
286,भूक लगी है और अब तक डिलीवर नहीं किया खाना ,sad
287,तुम एक दम बेवक़ूफ़ हो ,angry
288,क्या बेकार रिस्पांस है इस एप का ,angry
289,धन्यवाद मैं खुश हुआ ,happy
290,व्हाट ध फ़क ,angry
291,वह होटल बेकार निकला ,sad
292,ड्राइवर का बर्ताव अच्छा नहीं था ,sad
293,मै नाराज हु,sad
294,शाबाश ,happy
295,ये चैनल्स का रेट इतना ज्यादा क्यों कर देते है बार बार ,angry
296,आप अपनी सर्विस अपने पास रखो ,angry
297,मेरे अकाउंट से पैसे कैसे कट गए ,neutral
298,अबे गांडू हो क्या ?,angry
299,ऐसे ही सर्विस हमेशा रहे तो क्या बात है ,happy
300,कैब वाले ने मुझसे टोल टैक्स भरवाया ,sad
301,ओय मुझे गधा समझा है क्या ,angry
302,मै पेमेंट कैसे करू ,neutral
303,मेरा टाइम बर्बाद कर दिया ,angry
304,यार कब होगा रिचार्ज मेरे अकाउंट का ,sad
305,इस महीने चल जाएंगे इतने पैसे में ,neutral
306,कौन सा प्लान परिवार के हिसाब से सही होगा  ,neutral
307,क्या फालतू इंटरफ़ेस है तुम्हारे एप्प का ,angry
308,इसके यहाँ से अब सर्विस नहीं लूंगा ,sad
309,अरे बोलो भाई ,sad
310,मुझे तो ये एप्प बहुत अच्छा लगता है ,happy
311,बहुत दुखी हूँ मै तुम्हारे कारण,sad
312,कितनी बार एक ही चीज़ बोलनी पड़ेगी ,angry
313,एक नंबर काम किया है भाई तूने,happy
314,मेरी ट्रैन का स्टेटस पता करो ,neutral
315,गुड जॉब ,happy
316,मेरी किस्मत इतनी ख़राब कैसे है ,sad
317,मैं बिलकुल संतुष्ट हूँ इनके सर्विस से ,happy
318,अच्छे बुकिंग के लिए धन्यवाद ,happy
319,अजीब पागल हो तुम बे ,angry
320,ऐसे कैसे चैनल्स बंद कर दिए आप ,angry
321,थैंक्स ,happy
322,मुझे कुछ समझ में नहीं आ रहा है ,angry
323,मेरे को एक मदद चाहिए था,neutral
324,अरे यार कस्टमर केयर को कॉल लगाते लगाते परेशान हो गया हु,sad
325,यू आर द बेस्ट,happy
326,आजका मौसम गन्दा है ,sad
327,मेरा फ्लाइट आखिरकार बुक हो गया हुर्रे ! ! ,happy
328,और कितना इंतज़ार करवाओगे भाई ,angry
329,सबसे सस्ता फ्लाइट का टिकट बुक कर दो इधर से मुंबई का,neutral
330,यार ये बहुत सही चीज़ है ,happy
331,वैरी गुड ,happy
332,आपसे बात करके अच्छा लगा ,happy
333,मेरी फ्लाइट लेट क्यों हुई है ,neutral
334,कैब लोकेशन पर नहीं पहुंची,sad
335,एकदम बेकार ,angry
336,तुमसे ये उम्मीद नहीं थी ,sad
337,चेक इन टाइम गलत बताया यार तुमने ,sad
338,सही है ,happy
339,एक ऑटो बुक कर दो जल्दी ,neutral
340,कभी तो काम के आओ तुम ,angry
341,धन्यवाद मेरे भाई ,happy
342,मै सैटिस्फाइड नहीं हु ,sad
343,तुम ट्रैन का टिकट बुक सकते हो ,neutral
344,यूज़लेस ,angry
345,मेरा कैब कैंसिल कर दो ,neutral
346,ओए होए ! ! ! ,happy
347,बढ़िया डील मिला हमे ,happy
348,वाह ! ! ! सस्ती चीज बता दी यार,happy
349,मैंने जो कैब बुक की थी वह दिखा क्यों नहीं रहा ,neutral
350,हंसते हंसते मर न जाऊं मै,happy
351,चूतिया है क्या ? ,angry
352,फ्लाइट में बहुत मज़ा आया,happy
353,थैंक्स सारथि,happy
354,होटल कौन से इलाके में है ,neutral
355,बार बार एक ही चीज़ बोले जा रहे हो ,angry
356,मदद करने के लिए शुक्रिया ,happy
357,आये होये ! ! ! आज तो तूने दिल जीत लिया भाई ,happy
358,मुझे तेरे से और उम्मीद थी यार ,sad
359,बड़ी गाड़ी बुक कर सकते हो क्या ,neutral
360,तुम तो लाजवाब हो ,happy
361,यूज़लेस एप ,angry
362,अभी के अभी बुक करो ,neutral
363,कैब ड्राइवर बुरा था ,sad
364,इतने काम पैसे में इतना चैनल्स ,happy
365,मैंने 10 बार कम्प्लेन की है लेकिन कुछ हल नहीं निकल रहा ,angry
366,क्या कमल कर दिया तूने ,happy
367,मै काफी थक गया आज ,neutral
368,बहुत ही बकवास वेबसाइट है तुम्हारा भाई ,angry
369,इधर बुकिंग कैसे  होता है ,neutral
370,ये होटल अच्छा है ,happy
371,अबे क्या मुझे तू उल्लू समझ रहा है ,angry
372,तुमने मुझे बहुत निराश कर दिया,sad
373,पैसे डलवाने के लिए धन्यवाद मेरे यार ,happy
374,क्या जोरदार काम किया है भाई,happy
375,और क्या क्या करता है ये एप,neutral
376,सारथी की जय हो,happy
377,अबे भोसड़ीके ,angry
378,अच्छा काम किया भाई ,happy
379,तुम बहुत अच्छे हो ,happy
380,शिट यार मेरी फ्लाइट डिले हो गयी ,sad
381,इधर से बुकिंग क्यों नहीं हो रहा है  ,neutral
382,अबे रिचार्ज कर चुप चाप से ,angry
383,मेरे अकाउंट का बैलेंस बताये जरा,neutral
384,क्या लूज़र सा एप है ,angry
385,नाइस ,happy
386,चलो यह करके देखें,neutral
387,लंड बॉट है ये ,angry
388,होटल वाले ने मुझसे ज्यादा पैसा लिया ,sad
389,काम हो गया,neutral
390,ओए एक बुकिंग कर दे कैब की,neutral
391,ये कैब वाला कहा मर गया ,angry
392,अब क्या करूँ ,neutral
393,आज तो काफी अच्छा ऑफर चल रहे ,happy
394,मेरा होटल में स्टे अच्छा नहीं था ,sad
395,इन चैनल्स की क्लैरिटी सच में बहुत अच्छी है ,happy
396,इस एप के बारे में  और बताओ ,neutral
397,इतनी गंदगी थी वह पर ,sad
398,मेरी फ्लाइट का क्या स्टेटस है ,neutral
399,लाजवाब जगह था वह ,happy
400,कैब आने में और कितना टाइम है ,neutral
401,तुम्हारे काम की दाद देता हूँ,happy
402,अच्छी कैब मिल गयी  वाह ! !,happy
403,हम सही रास्ते जा रहे थे ,neutral
404,ये एप्प बहुत फसने लग गया है यार ,sad
405,ऐसा लग रहा है दीवार से बात कर रहा हु ,angry
406,बुकिंग कैसे होगा ,neutral
407,इतना सुन्दर होटल है ,happy
408,ये कैब कहा रह गया यार ,angry
409,पैसे अभी तक वापस नहीं आए यार ,sad
410,बाहर क्या टेंपरेचर है,neutral
411,नागपुर से मुंबई की २ फ्लाइट टिकट्स बुक करना,neutral
412,धन्यवाद सारथि ,happy
413,ग्रेट एप ,happy
414,तुम तोह काफी इंटेलीजेंट हो ,happy
415,बेशिस्त ड्राइवर था ,sad
416,ठीक ठाक एप्प लगता है ,neutral
417,"मज़ा आ गया भाई , पैसे ख़तम भी हो गए पर चैनल्स अभी भी चल रहे ",happy
418,पैसे लौटने की क्या संभाऊंना है ,neutral
419,५ मिनट में ऑटो बुक कर सकते हो क्या,neutral
420,क्या अभी तुरंत हो जाएगा ,neutral
421,होटल से व्यू अच्छा नहीं था ,sad
422,सारथी मदद करो ,neutral
423,अंतिम तिथि क्या है मेरे अकाउंट बंद होने की ,neutral
424,वाओ ! !  ,happy
425,तुमसे नहीं हो पायेगा ,angry
426,नहीं डलवाऊँगा पैसे मैं साले चोर ,angry
427,यार क्या घटिया सर्विस है ,angry
428,तुम्हरा कोटि कोटि धन्यवाद मेरा अकाउंट रजिस्टर करने के लिए ,happy
429,मुझे तुम से बहुत शिकायत है ,angry
430,ये क्या है ,neutral
431,कुछ भी नहीं बको बे ,angry
432,कोसिस करनी चाहिए ,neutral
433,बहुत कन्फुसिंग इंटरफ़ेस है तुम्हारा ,angry
434,इधर बारिश हुई थी क्या सुबह ,neutral
435,चुतियापा बंध करो तुम्हारा ,angry
436,क्या बेकार अप्प है ,angry
437,समझ नहीं आ रहा यार क्या करूँ मै,neutral
438,यीपी ! ! ! मेरा फ्लाइट आखिरकार बुक हो गया ,happy
439,कभी तो समझ जा एक बार मे ,angry
440, टिकट कन्फर्म है क्या ,neutral
441,कमीने ,angry
442,क्या कोई कूपन है तुम्हारे पास ,neutral
443,दुनिया का सबसे बेकार एप्प है तुम्हारा ,angry
444,इस मौसम के कारण मै पीड़ित हु ,sad
445,हुर्रे ! ! ! क्या डील मिली है !,happy
446,क्या सही एप है ये ,happy
447,ट्रैन टिकट बुक कर सकता है तू ,neutral
448,एक उबर बुक करो ,neutral
449,बहुत ही घटिया एप्प है तुम्हारा ,angry
450,ओए होए ! ! मेरा ट्रैन टिकट बुक हो गया ,happy
451,माशा अल्लाह क्या काम किया है तुमने ,happy
452,वाह लाजवाब ,happy
453,कब तक चलेंगे  इतने पैसे में ,neutral
454,मुझे तुमसे ये उम्मीद नहीं थी ,sad
455,अबे चूतियों वाली बातें मत करो ,angry
456,अच्छा एक्सपीरिएंस नहीं था ,sad
457,हरामी ,angry
458,एक कैब बुक करदो ,neutral
459,दिवाली में फ्लाइट्स की रेट काफी मेहेंगी हो जाती है ,neutral
460,मेरे अकाउंट में कितना बैलेंस है ,neutral
461,शुक्रिया तुम्हारा ,happy
462,तुमको कुछ समझ में नहीं आता क्या बहनचोद  ,angry
463,कम ऑन मैन ,angry
464,आज के दिन काफी सारे काम हो जाते है ,neutral
465,पैसे डलवाने के लिए शुक्रिया यारा ,happy
466,गवार तू जल्दी रिचार्ज करेगा ,angry
467,दिल्ली में बारिश होने वाली है क्या ,neutral
468,रिचार्ज करने के लिए धन्यवाद मेरे हीरो ,happy
469,बेकार एक्सपीरियंस था होटल में ,sad
470,अरे वाह क्या बात है ,happy
471,मेरा पैक कब तक चलेगा,neutral
472,आश्चर्यचकित कर दिया तुमने ,happy
473,तुम बढ़िया हो यार ,happy
474,हुर्रे ! ! ! एक नंबर कूपन मिल गया ,happy
475,यार बार बार इंडिका ही क्यों बुक होता है ,angry
476,ये होटल का प्राइस इतना ज़्यादा क्यों दिखा रहा है ,neutral
477,बहुत गर्मी है यार यहाँ ,neutral
478,मै तुमसे बहुत क्रोधित हु ,angry
479,तुमसे कोई काम न होता भोसड़ीके ,angry
480,क्या तुमने खाना खा लिया ,neutral
481,मुझे तुमसे बात नहीं करनी है ,angry
482,काफी ठण्ड है ,neutral
483,यार क्या बकवास कर रहे हो तुम ,angry
484,फ्लाइट में खाने के लिए भी कुछ बुक कर दो ,neutral
485,टट्टी एप है ये ,angry
486,हुर्रे मस्त कैब मिल गयी ,happy
487,बहुत मज़ा आया ,happy
488,फ्लाइट मैं लेगस्पेस इतना काम था ,sad
489,परेशान हो गया हूं यार,sad
490,कैब कब तक आएगा ,neutral
491,गधे के बच्चे बता ये प्रॉब्लम कैसे सॉल्व करूँ मैं ,angry
492,तुम्हारी सर्विस से हम खुश है,happy
493,अरे यार ये कैब वाला लगता है परसों आएगा ,sad
494,थैंक्यू सो मच ,happy
495,कोई काम के नहीं हो तुम ,angry
496,बेहतरीन ,happy
497,यार कुछ पल्ले ही नहीं पर रहा ,angry
498,क्या बेकार की बातें कर रहे हो ,angry
499,क्या आज धुप पड़ेगी ,neutral
500,बहुत टाइम लग रहा है बुक हने मे ,angry
501,थैंकयू सारथी! आय लव यू ! ,happy
502,यू अरे सो स्वीट ,happy
503,क्या बात है यार बढ़िया होटल मिल गया ,happy
504,बहुत ही उन्दा ,happy
505,इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी ,angry
506,एप से कुछ हेल्प नहीं मिला ,sad
507,कैसा है तू,neutral
508,तुम बड़े मज़ेदार हो ,happy
509,मेरे फ्लाइट  का बुकिंग फेल हो रहा है बार बार ,angry
510,क्या रिचार्ज करना चाहिए ,neutral
511,सुन्दर एप है ,happy
512,मेरे को तुम्हारा सर्विस पसंद नहीं आया,sad
